startX,startY,startZ,endX,endY,endZ,cyl_ID,radius_cyl,length,volume
0.3312744395,-0.25405132095,-4.48180863001,0.33099347509,-0.2500486403,-4.43033491707,1,0.0985004440306004,0.0516298703970395,0.00157371934735751
0.33099347509,-0.2500486403,-4.43033491707,0.33079421676,-0.24646809618,-4.378800169,2,0.0985004605610311,0.0516593675795175,0.00157461897335283
0.33079421676,-0.24646809618,-4.378800169,0.33066541709,-0.24325213501,-4.32721277808,3,0.0985004502237184,0.0516876958040774,0.0015754821096831
0.33066541709,-0.24325213501,-4.32721277808,0.33059596574,-0.24034314226,-4.2755802784,4,0.0985004315624697,0.0517144282141328,0.00157629633754996
0.33059596574,-0.24034314226,-4.2755802784,0.33057482401,-0.23768362248,-4.22391187287,5,0.0985004558027896,0.0517368110966022,0.00157697936153368
0.33057482401,-0.23768362248,-4.22391187287,0.33059072649,-0.23521595071,-4.17221533392,6,0.098500441330075,0.0517554035465117,0.00157754561069103
0.33059072649,-0.23521595071,-4.17221533392,0.33063268819,-0.2328826032,-4.12049972154,7,0.0985004332943065,0.0517682415697605,0.00157793666632814
0.33063268819,-0.2328826032,-4.12049972154,0.33068943776,-0.2306260019,-4.06877285575,8,0.0985004349117128,0.0517760959748564,0.00157817612659323
0.33068943776,-0.2306260019,-4.06877285575,0.33074989476,-0.22838858808,-4.01704265213,9,0.0985004428022268,0.0517786021655417,0.00157825277011264
0.33074989476,-0.22838858808,-4.01704265213,0.33080291906,-0.22611282091,-3.96531893349,10,0.0985004180725333,0.0517737867819065,0.00157810520100468
0.33080291906,-0.22611282091,-3.96531893349,0.33083743014,-0.2237410828,-3.91360808945,11,0.0985004241566399,0.0517652173182556,0.00157784419202051
0.33083743014,-0.2237410828,-3.91360808945,0.33084227005,-0.2212158456,-3.86192018128,12,0.098500450923041,0.0517495574602468,0.00157736772460047
0.33084227005,-0.2212158456,-3.86192018128,0.33080620328,-0.21847957294,-3.81026274299,13,0.0985004793522542,0.0517298697037492,0.00157676853627704
0.33080620328,-0.21847957294,-3.81026274299,0.33071823873,-0.21547464575,-3.7586445961,14,0.0985004644517344,0.0517056129790266,0.00157602869473961
0.33071823873,-0.21547464575,-3.7586445961,0.33056718269,-0.2121435381,-3.70707298851,15,0.0985004069945316,0.0516792976492528,0.00157522474459133
0.33056718269,-0.2121435381,-3.70707298851,0.33034188905,-0.20842870021,-3.65555826758,16,0.0985004704043118,0.0516489811154969,0.00157430270024001
